Variable,Platinum_Level,Gold_Level,Silver_Level,Bronze_Level,Catastrophic_Level
ED_1,0.316000015,0.275999993,0.246999994,0.231999993,0.230000004
ED_10,0.035,0.032000002,0.029999999,0.028999999,0.028999999
ED_11,0.029999999,0.028000001,0.027000001,0.027000001,0.027000001
ED_2,0.301999986,0.263000011,0.233999997,0.218999997,0.217999995
ED_3,0.277999997,0.240999997,0.213,0.199000001,0.196999997
ED_4,0.240999997,0.208000004,0.179000005,0.165000007,0.164000005
ED_5,0.216999993,0.187999994,0.162,0.148000002,0.147
ED_6,0.185000002,0.159999996,0.136999995,0.123000003,0.122000001
ED_7,0.151999995,0.130999997,0.111000001,0.098999999,0.097999997
ED_8,0.118000001,0.103,0.088,0.079000004,0.078000002
ED_9,0.074000001,0.064000003,0.054000001,0.048,0.048
G01,0.469999999,0.405999988,0.344999999,0.280999988,0.273000002
G02a,2.368000031,2.269000053,2.191999912,2.130000114,2.121999979
G03,5.28000021,5.092999935,4.96600008,4.96600008,4.96600008
G04,2.651000023,2.461999893,2.325000048,2.243999958,2.233999968
G06,11.58500004,11.45800018,11.36999989,11.36100006,11.35999966
G07,7.072999954,6.964000225,6.882999897,6.847000122,6.842000008
G08,4.605999947,4.478000164,4.394000053,4.381000042,4.379000187
G09,3.437999964,3.201999903,3.032999992,2.89199996,2.871999979
G10,10.38300037,10.24800014,10.15699959,10.13500023,10.13099957
G11,7.512000084,7.355000019,7.247000217,7.209000111,7.203000069
G12,1.924999952,1.782999992,1.682000041,1.58099997,1.565000057
G13,7.394000053,7.223999977,7.123000145,7.190999985,7.202000141
G14,27.6079998,27.4109993,27.2859993,27.3220005,27.32799911
G15,0.866999984,0.759000003,0.665000021,0.56400001,0.550999999
G16,1.067000031,1.016000032,0.985000014,0.996999979,1.001000047
G17,1.003000021,0.867999971,0.74000001,0.541999996,0.512000024
G18,3.296000004,2.89199996,2.677999973,2.344000101,2.301000118
HHS_HCC012,2.502000093,2.332999945,2.207999945,2.127000093,2.115999937
HHS_HCC013,1.10800004,0.981000006,0.874000013,0.754000008,0.737999976
HHS_HCC018,4.007999897,3.805999994,3.686000109,3.680999994,3.681999922
HHS_HCC019,0,0,0,0,0
HHS_HCC020,0,0,0,0,0
HHS_HCC021,0,0,0,0,0
HHS_HCC023,11.13899994,11.12699986,11.11699963,11.20400047,11.21500015
HHS_HCC026,0,0,0,0,0
