State,RA_Adj_Avg_Pre,Avg_pre,PLRS,ARF,AV,IDF,MM,Market,Year
AK,690.93,803.41,1.372,1.647,0.65,1.016,199774.7,1,2018
AL,572.6,665.81,2.072,1.647,0.695,1.03,2136331,1,2018
AR,412.95,480.17,1.856,1.504,0.695,1.029,3615414.6,1,2018
AZ,554.75,645.05,1.575,1.72,0.675,1.023,1709117,1,2018
CA,451.61,525.12,1.293,1.64,0.694,1.034,24130439,1,2018
CO,504.27,586.36,1.3,1.675,0.654,1.017,2359226.6,1,2018
CT,591.82,688.16,1.562,1.778,0.671,1.023,1496758.1,1,2018
DC,374.09,434.99,1.399,1.092,0.728,1.054,192947.8,1,2018
DE,653.64,760.04,1.683,1.734,0.675,1.024,279435.6,1,2018
FL,513.45,597.03,1.598,1.679,0.673,1.023,19340606.4,1,2018
GA,532.85,619.59,1.597,1.648,0.691,1.029,4676111.8,1,2018
HI,512.69,596.15,1.552,1.7,0.723,1.05,358445.1,1,2018
IA,871.02,1012.81,1.665,1.906,0.666,1.021,489418.6,1,2018
ID,449.79,523.02,1.41,1.611,0.664,1.021,1186196.2,1,2018
IL,546.89,635.92,1.56,1.715,0.668,1.022,4336246.1,1,2018
IN,418.81,486.98,1.708,1.764,0.679,1.024,1615930.6,1,2018
KS,531.11,617.57,1.702,1.672,0.698,1.035,1124532.3,1,2018
KY,476.58,554.17,1.741,1.761,0.671,1.023,922708.7,1,2018
LA,561.21,652.57,1.786,1.703,0.677,1.025,1278023.9,1,2018
MD,536.49,623.83,1.678,1.675,0.701,1.036,2227425.7,1,2018
ME,609.87,709.15,1.412,1.762,0.66,1.019,860514.5,1,2018
MI,436.85,507.96,1.498,1.71,0.658,1.019,3889902.8,1,2018
MN,451.73,525.26,1.331,1.818,0.652,1.018,1723269.6,1,2018
MO,559.11,650.12,1.711,1.704,0.673,1.022,2481839.7,1,2018
MS,552.22,642.11,1.902,1.655,0.706,1.034,998106.8,1,2018
MT,553.78,643.93,1.257,1.753,0.641,1.013,630416,1,2018
NC,669.39,778.36,1.689,1.668,0.684,1.027,5666897,1,2018
ND,428.1,497.79,1.366,1.587,0.697,1.035,438789.4,1,2018
NE,748,869.77,1.493,1.61,0.658,1.018,968131.2,1,2018
NH,527.41,613.26,1.729,1.631,0.686,1.026,1004432.1,1,2018
NJ,504.22,586.3,1.507,1.696,0.681,1.025,3690938.3,1,2018
NM,446.83,519.57,1.529,1.803,0.711,1.04,698106,1,2018
NV,429.65,499.59,1.442,1.64,0.665,1.021,1203835.9,1,2018
NY,494.41,574.89,1.628,0.983,0.715,1.047,3533624.3,1,2018
OH,436.07,507.06,1.647,1.778,0.661,1.019,2570189.4,1,2018
OK,587.69,683.37,1.988,1.63,0.673,1.023,1661297.1,1,2018
OR,437.71,508.96,1.386,1.665,0.677,1.026,2277277.4,1,2018
PA,565.66,657.75,1.662,1.769,0.711,1.039,5430133.9,1,2018
RI,375.07,436.13,1.557,1.71,0.706,1.038,530570.1,1,2018
SC,557.23,647.94,1.739,1.699,0.677,1.024,2389934.8,1,2018
SD,534.79,621.85,1.501,1.593,0.662,1.019,392510.2,1,2018
TN,692.86,805.65,1.979,1.748,0.677,1.023,2442757.7,1,2018
TX,470.64,547.26,1.654,1.644,0.676,1.024,11889618.4,1,2018
UT,418.43,486.54,1.204,1.556,0.658,1.018,2245997.9,1,2018
VA,560,651.16,1.564,1.635,0.681,1.026,4067657.2,1,2018
WA,433.89,504.52,1.38,1.735,0.674,1.025,2966680.6,1,2018
WI,642.37,746.94,1.575,1.847,0.677,1.026,2453679.4,1,2018
WV,732.63,851.89,2.045,1.91,0.673,1.023,306789.9,1,2018
WY,827.34,962.02,1.59,1.629,0.724,1.047,300374.4,1,2018
AK,668.72,777.58,1.165,1.478,0.707,1.038,134349.4,2,2018
AL,371.7,432.21,1.438,1.514,0.769,1.068,2522753.8,2,2018
AR,352.82,410.25,1.333,1.448,0.787,1.076,441603.8,2,2018
AZ,358.55,416.92,1.16,1.424,0.724,1.047,1862238.4,2,2018
CA,409.83,476.54,1.1,1.408,0.771,1.072,24493085.5,2,2018
CO,383.34,445.75,1.071,1.399,0.725,1.047,3106797.5,2,2018
CT,479.25,557.27,1.259,1.513,0.717,1.044,1830467.1,2,2018
DC,421.89,490.58,1.232,1.036,0.822,1.1,927770.9,2,2018
DE,520.58,605.33,1.316,1.482,0.753,1.06,313706.1,2,2018
FL,445.34,517.84,1.342,1.488,0.764,1.066,3855427.9,2,2018
GA,438.33,509.68,1.274,1.446,0.742,1.054,2352881.2,2,2018
HI,389.04,452.37,1.349,1.485,0.885,1.139,528528,2,2018
IA,377.58,439.05,1.192,1.448,0.723,1.045,1253314.8,2,2018
ID,325.83,378.87,1.097,1.393,0.741,1.053,664485.2,2,2018
IL,441.68,513.58,1.293,1.456,0.783,1.077,4681156.7,2,2018
IN,441.28,513.11,1.282,1.479,0.721,1.044,1309556.5,2,2018
KS,360.44,419.11,1.245,1.431,0.763,1.065,1097315.8,2,2018
KY,411.06,477.98,1.346,1.463,0.742,1.053,765573.5,2,2018
LA,400.9,466.16,1.283,1.44,0.762,1.066,1571229.3,2,2018
MD,385.25,447.96,1.253,1.45,0.748,1.058,3199136.7,2,2018
ME,385.83,448.64,1.102,1.509,0.692,1.032,633466.3,2,2018
MI,354.62,412.35,1.305,1.437,0.792,1.081,4771107,2,2018
MN,400.47,465.66,1.122,1.466,0.739,1.054,3487772.6,2,2018
MO,423.61,492.57,1.35,1.443,0.744,1.055,1348810.3,2,2018
MS,357.85,416.1,1.261,1.384,0.758,1.061,349219.4,2,2018
MT,390.51,454.08,1.016,1.439,0.708,1.04,539735.4,2,2018
NC,436.03,507.01,1.244,1.482,0.738,1.052,1971456.3,2,2018
ND,376.98,438.34,1.139,1.336,0.823,1.101,432801.2,2,2018
NE,409.77,476.48,1.204,1.425,0.712,1.04,605165.1,2,2018
NH,431.59,501.85,1.254,1.512,0.727,1.045,710269.3,2,2018
NJ,511.95,595.29,1.359,1.477,0.751,1.059,3662547.5,2,2018
NM,421.59,490.22,1.231,1.493,0.768,1.067,600084.9,2,2018
NV,353.22,410.72,1.134,1.385,0.746,1.057,1192204.3,2,2018
NY,595.35,692.26,1.655,0.975,0.771,1.072,11057487.3,2,2018
OH,479.61,557.68,1.55,1.514,0.734,1.05,1239855.3,2,2018
OK,389.07,452.41,1.363,1.466,0.753,1.06,1725147.6,2,2018
OR,369.04,429.12,1.124,1.415,0.765,1.067,2246413,2,2018
PA,442.74,514.82,1.41,1.494,0.788,1.079,4954127.1,2,2018
RI,447.69,520.57,1.461,1.527,0.809,1.091,653983.1,2,2018
SC,454.03,527.95,1.25,1.455,0.736,1.05,807400.2,2,2018
SD,414.18,481.61,1.127,1.431,0.7,1.035,396568,2,2018
TN,367.39,427.19,1.245,1.473,0.729,1.049,2278008.6,2,2018
TX,461.06,536.11,1.326,1.436,0.733,1.051,7597789.4,2,2018
UT,315.85,367.27,1.062,1.413,0.758,1.061,1472955.6,2,2018
VA,419.31,487.57,1.24,1.416,0.782,1.077,4237871.5,2,2018
WA,398,462.79,1.191,1.468,0.764,1.066,2735446.5,2,2018
WI,439.7,511.28,1.208,1.452,0.749,1.059,1351883.3,2,2018
WV,505.43,587.71,1.424,1.506,0.751,1.059,218631,2,2018
WY,493.92,574.33,1.134,1.385,0.717,1.042,98056.4,2,2018
AL,228.19,265.33,1.191,1.113,0.57,1,13086.1,3,2018
AR,149.91,174.31,0.317,1.038,0.57,1,3480.3,3,2018
AZ,199.09,231.5,0.426,0.931,0.57,1,5675.9,3,2018
CA,171.29,199.17,0.275,0.991,0.57,1,305077.1,3,2018
CO,200.99,233.71,0.39,0.998,0.57,1,78779.9,3,2018
CT,186.68,217.07,0.327,1.031,0.57,1,21825.6,3,2018
DC,96.93,112.71,0.298,0.735,0.57,1,9180.7,3,2018
DE,288.7,335.7,0.615,1.013,0.57,1,1578.9,3,2018
FL,157.89,183.59,0.761,1.133,0.57,1,10658.1,3,2018
GA,240.58,279.75,0.474,1.077,0.57,1,33460.1,3,2018
HI,158.38,184.16,0.157,0.954,0.57,1,2551.7,3,2018
IA,285.15,331.57,0.229,0.986,0.57,1,5416.5,3,2018
ID,147.16,171.11,0.601,0.964,0.57,1,16695.8,3,2018
IL,259.21,301.41,0.484,0.999,0.57,1,21405.4,3,2018
IN,298.43,347.02,0.382,1.038,0.57,1,86.2,3,2018
