Variable,Platinum_Level,Gold_Level,Silver_Level,Bronze_Level,Catastrophic_Level
ACF_01,3.62,3.551,3.472,3.304,3.258
ED_1,11.074,9.697,8.663,7.661,7.414
ED_2,4.976,4.271,3.729,3.226,3.102
ED_3,3.206,2.743,2.369,2.026,1.944
ED_4,1.883,1.566,1.297,1.054,0.995
ED_5,1.4,1.164,0.955,0.763,0.714
ED_6,0.936,0.762,0.599,0.448,0.407
FAGE_LAST_21_24,0.278,0.196,0.132,0.082,0.067
FAGE_LAST_25_29,0.311,0.221,0.149,0.091,0.074
FAGE_LAST_30_34,0.384,0.288,0.209,0.144,0.126
FAGE_LAST_35_39,0.435,0.335,0.253,0.184,0.166
FAGE_LAST_40_44,0.484,0.379,0.292,0.216,0.195
FAGE_LAST_45_49,0.491,0.385,0.293,0.214,0.192
FAGE_LAST_50_54,0.506,0.397,0.302,0.219,0.197
FAGE_LAST_55_59,0.467,0.358,0.265,0.184,0.162
FAGE_LAST_60_GT,0.467,0.355,0.26,0.177,0.154
G01,0.189,0.145,0.102,0.06,0.05
G01,0.189,0.145,0.102,0.06,0.05
G01,0.189,0.145,0.102,0.06,0.05
G02B,18.785,18.604,18.567,18.498,18.495
G02B,18.785,18.604,18.567,18.498,18.495
G04,1.753,1.635,1.546,1.437,1.415
G04,1.753,1.635,1.546,1.437,1.415
G06A,9.888,9.761,9.718,9.648,9.639
G06A,9.888,9.761,9.718,9.648,9.639
G06A,9.888,9.761,9.718,9.648,9.639
G08,4.364,4.272,4.239,4.184,4.176
G08,4.364,4.272,4.239,4.184,4.176
G09A,1.479,1.349,1.232,1.092,1.059
G09A,1.479,1.349,1.232,1.092,1.059
G09C,0.857,0.746,0.647,0.533,0.507
G09C,0.857,0.746,0.647,0.533,0.507
G10,9.567,9.405,9.331,9.227,9.211
G10,9.567,9.405,9.331,9.227,9.211
G11,6.337,6.186,6.106,5.994,5.975
G11,6.337,6.186,6.106,5.994,5.975
G12,1.362,1.272,1.191,1.094,1.07
G12,1.362,1.272,1.191,1.094,1.07
G13,7.858,7.659,7.579,7.478,7.472
G13,7.858,7.659,7.579,7.478,7.472
G14,14.408,14.322,14.312,14.307,14.304
G14,14.408,14.322,14.312,14.307,14.304
G15A,0.615,0.539,0.454,0.36,0.334
G15A,0.615,0.539,0.454,0.36,0.334
G15A,0.615,0.539,0.454,0.36,0.334
G16,0.749,0.679,0.661,0.621,0.622
G16,0.749,0.679,0.661,0.621,0.622
G17A,0.638,0.554,0.42,0.253,0.193
G17A,0.638,0.554,0.42,0.253,0.193
G18A,3.61,3.349,3.031,2.654,2.581
G18A,3.61,3.349,3.031,2.654,2.581
G21,2.004,1.911,1.843,1.763,1.745
G21,2.004,1.911,1.843,1.763,1.745
G21,2.004,1.911,1.843,1.763,1.745
G24,5.506,5.552,5.642,5.734,5.757
G24,5.506,5.552,5.642,5.734,5.757
HHS_HCC001,0,0,0,0,0
HHS_HCC002,8.52,8.314,8.233,8.129,8.123
HHS_HCC003,7.76,7.653,7.601,7.527,7.511
HHS_HCC004,6.855,6.746,6.678,6.59,6.569
HHS_HCC006,8.11,8.053,7.995,7.916,7.892
HHS_HCC008,22.129,21.703,21.654,21.525,21.533
HHS_HCC009,12.286,11.994,11.925,11.798,11.789
HHS_HCC010,5.4,5.216,5.126,5.002,4.98
HHS_HCC011,3.851,3.657,3.554,3.419,3.396
HHS_HCC012,2.465,2.326,2.237,2.127,2.105
HHS_HCC013,1.025,0.93,0.825,0.71,0.681
HHS_HCC022,0.179,0.155,0.111,0.045,0.023
HHS_HCC023,10.099,9.974,9.925,9.854,9.843
HHS_HCC029,5.455,5.353,5.299,5.229,5.216
HHS_HCC030,1.291,1.216,1.15,1.071,1.053
HHS_HCC034,5.506,5.552,5.642,5.734,5.757
HHS_HCC035_1,6.88,6.693,6.63,6.548,6.543
HHS_HCC035_2,2.234,2.07,2,1.906,1.896
HHS_HCC036,0.616,0.537,0.476,0.401,0.387
HHS_HCC037_1,0.516,0.455,0.396,0.336,0.325
HHS_HCC037_2,0.516,0.455,0.396,0.336,0.325
HHS_HCC041,5.506,5.552,5.642,5.734,5.757
HHS_HCC042,10.409,10.234,10.209,10.146,10.144
HHS_HCC045,4.795,4.594,4.499,4.369,4.35
HHS_HCC046,2.131,1.971,1.875,1.755,1.738
HHS_HCC047,2.131,1.971,1.875,1.755,1.738
HHS_HCC048,3.007,2.889,2.788,2.652,2.614
HHS_HCC054,6.731,6.567,6.536,6.475,6.47
HHS_HCC055,4.138,3.961,3.912,3.843,3.843
HHS_HCC056,1.363,1.259,1.188,1.104,1.086
HHS_HCC057,0.355,0.286,0.198,0.098,0.069
HHS_HCC063,0.823,0.732,0.64,0.542,0.52
HHS_HCC066,70.952,70.627,70.59,70.491,70.495
HHS_HCC070,1.833,1.725,1.635,1.537,1.518
HHS_HCC071,1.457,1.397,1.348,1.292,1.279
HHS_HCC075,2.167,2.085,2.024,1.948,1.93
HHS_HCC087_1,2.215,2.05,1.928,1.784,1.757
HHS_HCC087_2,2.087,1.932,1.803,1.645,1.611
HHS_HCC088,0.927,0.831,0.728,0.609,0.578
HHS_HCC090,0.666,0.587,0.487,0.377,0.343
HHS_HCC094,1.855,1.749,1.663,1.555,1.529
HHS_HCC096,9.243,9.207,9.184,9.155,9.144
HHS_HCC097,0.779,0.715,0.659,0.596,0.581
HHS_HCC102,0.67,0.59,0.496,0.397,0.367
HHS_HCC103,0.666,0.587,0.487,0.377,0.343
HHS_HCC110,4.665,4.482,4.406,4.296,4.28
HHS_HCC111,6.067,5.909,5.822,5.707,5.686
HHS_HCC112,0.975,0.868,0.773,0.658,0.631
HHS_HCC113,0.426,0.363,0.3,0.229,0.21
HHS_HCC114,1.116,1.035,0.959,0.864,0.841
HHS_HCC115,4.927,4.844,4.822,4.783,4.779
HHS_HCC118,2.461,2.331,2.253,2.151,2.131
HHS_HCC120,0.929,0.84,0.758,0.66,0.637
HHS_HCC121,8.919,8.823,8.773,8.704,8.689
HHS_HCC122,9.62,9.477,9.417,9.325,9.307
HHS_HCC123,4.303,4.171,4.101,4.006,3.987
HHS_HCC125,20.117,19.902,19.845,19.752,19.744
HHS_HCC130,1.628,1.543,1.49,1.421,1.407
HHS_HCC131,4.41,4.188,4.129,4.044,4.047
HHS_HCC132,3.261,3.073,2.986,2.868,2.856
HHS_HCC135,7.943,7.85,7.792,7.709,7.689
HHS_HCC142,1.831,1.725,1.64,1.531,1.501
HHS_HCC145,9.782,9.608,9.545,9.452,9.441
HHS_HCC146,1.438,1.326,1.258,1.173,1.161
HHS_HCC149,1.977,1.859,1.772,1.659,1.634
HHS_HCC150,2.618,2.497,2.459,2.405,2.403
HHS_HCC151,2.198,2.088,2.019,1.931,1.916
