CSR_Code,CSR_Desc,model_year,adj_factor
1,Silver 94%,2020,1.12
2,Silver 87%,2020,1.12
3,Silver 73%,2020,1.0
4,No CSR,2020,1.0
5,Zero Cost Share Gold,2020,1.07
6,Zero Cost Share Silver,2020,1.12
7,Zero Cost Share Bronze,2020,1.15
8,Limited Cost Share Platinum,2020,1.0
9,Limited Cost Share Gold,2020,1.07
10,Limited Cost Share Silver,2020,1.12
11,Limited Cost Share Bronze,2020,1.15
12,Zero Cost Share Platinum,2020,1.0
1,Silver 94%,2021,1.12
2,Silver 87%,2021,1.12
3,Silver 73%,2021,1.0
4,No CSR,2021,1.0
5,Zero Cost Share Gold,2021,1.07
6,Zero Cost Share Silver,2021,1.12
7,Zero Cost Share Bronze,2021,1.15
8,Limited Cost Share Platinum,2021,1.0
9,Limited Cost Share Gold,2021,1.07
10,Limited Cost Share Silver,2021,1.12
11,Limited Cost Share Bronze,2021,1.15
12,Zero Cost Share Platinum,2021,1.0
1,Silver 94%,2022,1.12
2,Silver 87%,2022,1.12
3,Silver 73%,2022,1.0
4,No CSR,2022,1.0
5,Zero Cost Share Gold,2022,1.07
6,Zero Cost Share Silver,2022,1.12
7,Zero Cost Share Bronze,2022,1.15
8,Limited Cost Share Platinum,2022,1.0
9,Limited Cost Share Gold,2022,1.07
10,Limited Cost Share Silver,2022,1.12
11,Limited Cost Share Bronze,2022,1.15
12,Zero Cost Share Platinum,2022,1.0
1,Silver 94%,2023,1.12
2,Silver 87%,2023,1.12
3,Silver 73%,2023,1.0
4,No CSR,2023,1.0
5,Zero Cost Share Gold,2023,1.07
6,Zero Cost Share Silver,2023,1.12
7,Zero Cost Share Bronze,2023,1.15
8,Limited Cost Share Platinum,2023,1.0
9,Limited Cost Share Gold,2023,1.07
10,Limited Cost Share Silver,2023,1.12
11,Limited Cost Share Bronze,2023,1.15
12,Zero Cost Share Platinum,2023,1.0
1,Silver 94%,2024,1.12
2,Silver 87%,2024,1.12
3,Silver 73%,2024,1.0
4,No CSR,2024,1.0
5,Zero Cost Share Gold,2024,1.07
6,Zero Cost Share Silver,2024,1.12
7,Zero Cost Share Bronze,2024,1.15
8,Limited Cost Share Platinum,2024,1.0
9,Limited Cost Share Gold,2024,1.07
10,Limited Cost Share Silver,2024,1.12
11,Limited Cost Share Bronze,2024,1.15
12,Zero Cost Share Platinum,2024,1.0
1,Silver 94%,2025,1.12
2,Silver 87%,2025,1.12
3,Silver 73%,2025,1.0
4,No CSR,2025,1.0
5,Zero Cost Share Gold,2025,1.39
6,Zero Cost Share Silver,2025,1.46
7,Zero Cost Share Bronze,2025,1.51
8,Limited Cost Share Platinum,2025,1.04
9,Limited Cost Share Gold,2025,1.1
10,Limited Cost Share Silver,2025,1.15
11,Limited Cost Share Bronze,2025,1.19
12,Zero Cost Share Platinum,2025,1.31
1,Silver 94%,2026,1.12
2,Silver 87%,2026,1.12
3,Silver 73%,2026,1.0
4,No CSR,2026,1.0
5,Zero Cost Share Gold,2026,1.39
6,Zero Cost Share Silver,2026,1.46
7,Zero Cost Share Bronze,2026,1.51
8,Limited Cost Share Platinum,2026,1.04
9,Limited Cost Share Gold,2026,1.1
10,Limited Cost Share Silver,2026,1.15
11,Limited Cost Share Bronze,2026,1.19
12,Zero Cost Share Platinum,2026,1.31
1,Silver 94%,2027,1.12
2,Silver 87%,2027,1.12
3,Silver 73%,2027,1.0
4,No CSR,2027,1.0
5,Zero Cost Share Gold,2027,1.39
6,Zero Cost Share Silver,2027,1.46
7,Zero Cost Share Bronze,2027,1.51
8,Limited Cost Share Platinum,2027,1.04
9,Limited Cost Share Gold,2027,1.1
10,Limited Cost Share Silver,2027,1.15
11,Limited Cost Share Bronze,2027,1.19
12,Zero Cost Share Platinum,2027,1.31
