DGNS_CD,CC_CD,ACC_CD,DGNS_CD_EFF_STRT_DT,DGNS_CD_EFF_END_DT,MIN_AGE_DGNS_INCLUDE,MAX_AGE_DGNS_EXCLUDE,CC_AGE_SPLIT_MIN_AGE_INC,CC_AGE_SPLIT_MAX_AGE_EXC,CC_SEX_SPLIT
A0101,3,0,2015-10-01,2027-12-31,0,999,0,999,X
A0102,135,0,2015-10-01,2027-12-31,0,999,0,999,X
A0104,55,0,2015-10-01,2027-12-31,0,999,0,999,X
A0105,55,0,2015-10-01,2027-12-31,0,999,0,999,X
A021,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A0221,3,0,2015-10-01,2027-12-31,0,999,0,999,X
A0223,55,0,2015-10-01,2027-12-31,0,999,0,999,X
A0224,55,0,2015-10-01,2027-12-31,0,999,0,999,X
A064,351,0,2015-10-01,2027-12-31,0,999,0,999,X
A065,163,0,2015-10-01,2027-12-31,0,999,0,999,X
A066,3,0,2015-10-01,2027-12-31,0,999,0,999,X
A072,6,0,2015-10-01,2027-12-31,0,999,0,999,X
A170,3,0,2015-10-01,2027-12-31,0,999,0,999,X
A171,3,0,2015-10-01,2027-12-31,0,999,0,999,X
A1781,3,0,2015-10-01,2027-12-31,0,999,0,999,X
A1782,3,0,2015-10-01,2027-12-31,0,999,0,999,X
A1783,3,0,2015-10-01,2027-12-31,0,999,0,999,X
A1789,3,0,2015-10-01,2027-12-31,0,999,0,999,X
A179,3,0,2015-10-01,2027-12-31,0,999,0,999,X
A203,3,0,2015-10-01,2027-12-31,0,999,0,999,X
A207,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A227,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A267,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A2781,3,0,2015-10-01,2027-12-31,0,999,0,999,X
A310,6,0,2015-10-01,2027-12-31,0,999,0,999,X
A312,6,0,2015-10-01,2027-12-31,0,999,0,999,X
A3211,3,0,2015-10-01,2027-12-31,0,999,0,999,X
A3212,3,0,2015-10-01,2027-12-31,0,999,0,999,X
A327,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A3282,135,0,2015-10-01,2027-12-31,0,999,0,999,X
A34,3,0,2015-10-01,2027-12-31,9,65,0,999,X
A35,3,0,2015-10-01,2027-12-31,0,999,0,999,X
A3681,130,0,2015-10-01,2027-12-31,0,999,0,999,X
A381,135,0,2015-10-01,2027-12-31,0,999,0,999,X
A390,3,0,2015-10-01,2027-12-31,0,999,0,999,X
A391,30,0,2015-10-01,2027-12-31,0,999,0,999,X
A392,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A393,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A394,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A3950,135,0,2015-10-01,2027-12-31,0,999,0,999,X
A3951,135,0,2015-10-01,2027-12-31,0,999,0,999,X
A3952,135,0,2015-10-01,2027-12-31,0,999,0,999,X
A3953,135,0,2015-10-01,2027-12-31,0,999,0,999,X
A3981,3,0,2015-10-01,2027-12-31,0,999,0,999,X
A3983,55,0,2015-10-01,2027-12-31,0,999,0,999,X
A3984,55,0,2015-10-01,2027-12-31,0,999,0,999,X
A400,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A401,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A403,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A408,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A409,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A4101,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A4102,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A411,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A412,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A413,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A414,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A4150,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A4151,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A4152,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A4153,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A4154,2,0,2023-10-01,2027-12-31,0,999,0,999,X
A4159,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A4181,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A4189,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A419,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A427,2,0,2015-10-01,2027-12-31,0,999,0,999,X
A4281,3,0,2015-10-01,2027-12-31,0,999,0,999,X
A4282,3,0,2015-10-01,2027-12-31,0,999,0,999,X
A480,153,0,2015-10-01,2027-12-31,0,999,0,999,X
